botid, date, time, press, dop, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0770200410, 103096, 064946,  123.8,   0.16,
0770200409, 103096, 064844,  135.2,   0.17,
0770200408, 103096, 064722,  149.7,   0.13,
0770200406, 103096, 064438,  175.2,   0.11,
0770200404, 103096, 064208,  201.3,   0.13,
0780200621, 121196, 093257,    4.3,   0.22,
0780200620, 121196, 093133,   14.6,   0.26,
0780200618, 121196, 092945,   24.2,   0.23,
0780200617, 121196, 092821,   35.0,   0.24,
0780200616, 121196, 092653,   44.5,   0.24,
0780200615, 121196, 092535,   59.5,   0.25,
0780200614, 121196, 092411,   74.2,   0.25,
0780200613, 121196, 092249,   83.9,   0.27,
0780200612, 121196, 092127,   95.7,   0.26,
0780200611, 121196, 092011,  105.1,   0.22,
0780200610, 121196, 091853,  114.6,   0.20,
0780200609, 121196, 091743,  125.0,   0.21,
0780200608, 121196, 091611,  135.4,   0.18,
0780200607, 121196, 091445,  149.4,   0.16,
0780200605, 121196, 091213,  174.7,   0.11,
