botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
1010210004, 011399, -00009,  100.0,  1.419,
1010210003, 011399, -00009,  125.0,  0.194,
1010210002, 011399, -00009,  150.0,  0.080,
1020210008, 021899, -00009,    5.0,  1.737,
1020210007, 021899, -00009,   25.0,  2.147,
1020210006, 021899, -00009,   45.0,  1.978,
1020210005, 021899, -00009,   75.0,  1.513,
1020210004, 021899, -00009,  100.0,  0.633,
1020210003, 021899, -00009,  125.0,  0.283,
1020210001, 021899, -00009,  175.0,  0.007,
1030210008, 031799, -00009,    5.0,  2.082,
1030210007, 031799, -00009,   25.0,  2.444,
1030210006, 031799, -00009,   45.0,  2.916,
1030210005, 031799, -00009,   75.0,  2.795,
1030210004, 031799, -00009,  100.0,  0.764,
1030210003, 031799, -00009,  125.0,  0.291,
1030210002, 031799, -00009,  150.0,  0.600,
1030210001, 031799, -00009,  175.0,  0.264,
1040210008, 041499, -00009,    5.0,  1.939,
1040210007, 041499, -00009,   25.0,  1.926,
1040210006, 041499, -00009,   45.0,  2.009,
1040210005, 041499, -00009,   75.0,  1.927,
1040210004, 041499, -00009,  100.0,  1.729,
1040210003, 041499, -00009,  125.0,  0.963,
1040210002, 041499, -00009,  150.0,  0.544,
1050210008, 051099, -00009,    5.0,  1.552,
1050210007, 051099, -00009,   25.0,  1.576,
1050210006, 051099, -00009,   45.0,  1.804,
1050210005, 051099, -00009,   75.0,  2.148,
1050210004, 051099, -00009,  100.0,  1.621,
1050210003, 051099, -00009,  125.0,  1.740,
1060210008, 071499, -00009,    5.0,  1.725,
1060210007, 071499, -00009,   25.0,  1.501,
1060210006, 071499, -00009,   45.0,  1.018,
1060210005, 071499, -00009,   75.0,  2.267,
1060210004, 071499, -00009,  100.0,  1.600,
1060210003, 071499, -00009,  125.0,  0.569,
1060210002, 071499, -00009,  150.0,  0.285,
1060210001, 071499, -00009,  175.0,  0.194,
1070210008, 081499, -00009,    5.0,  1.489,
1070210007, 081499, -00009,   25.0,  1.459,
1070210006, 081499, -00009,   45.0,  1.811,
1070210005, 081499, -00009,   75.0,  1.549,
1070210004, 081499, -00009,  100.0,  1.075,
1070210003, 081499, -00009,  125.0,  0.118,
1070210002, 081499, -00009,  150.0,  0.134,
1080210008, 101599, -00009,    5.0,  1.875,
1080210007, 101599, -00009,   25.0,  1.912,
1080210006, 101599, -00009,   45.0,  2.056,
1080210005, 101599, -00009,   75.0,  2.354,
1080210004, 101599, -00009,  100.0,  0.820,
1080210003, 101599, -00009,  125.0,  0.309,
1080210002, 101599, -00009,  150.0,  0.408,
1090210008, 110999, -00009,    5.0,  2.227,
1090210007, 110999, -00009,   25.0,  2.015,
1090210006, 110999, -00009,   45.0,  2.132,
1090210005, 110999, -00009,   75.0,  2.265,
1090210004, 110999, -00009,  100.0,  1.963,
1090210003, 110999, -00009,  125.0,  0.433,
1090210002, 110999, -00009,  150.0,  0.189,
1100210008, 121599, -00009,    5.0,  2.821,
1100210007, 121599, -00009,   25.0,  2.421,
1100210006, 121599, -00009,   45.0,  2.530,
1100210005, 121599, -00009,   75.0,  2.209,
1100210004, 121599, -00009,  100.0,  0.564,
1100210003, 121599, -00009,  125.0,  0.508,
1100210002, 121599, -00009,  150.0,  0.107,
