botid, date, time, press, chl, 
#, mmddyy, hhmmss, dbar, ug/l, 
0630200508, 050795, 084817,  149.8,   0.07,
0630200507, 050795, 084717,  159.4,   0.03,
0630200506, 050795, 084608,  174.7,   0.02,
0630201317, 050895, 091727,    4.9,   0.08,
0630201315, 050895, 091548,   24.5,   0.08,
0630201314, 050895, 091400,   45.2,   0.09,
0630201313, 050895, 091227,   75.0,   0.11,
0630201312, 050895, 091102,   99.4,   0.17,
0630201311, 050895, 091006,  110.0,   0.20,
0630201310, 050895, 090918,  115.2,   0.19,
0630201309, 050895, 090824,  120.1,   0.20,
0630201308, 050895, 090729,  125.0,   0.24,
0630201307, 050895, 090554,  150.6,   0.09,
0630201306, 050895, 090427,  175.7,   0.03,
0630210008, 050795, -00009,    5.0,   0.09,
0630210007, 050795, -00009,   25.0,   0.08,
0630210006, 050795, -00009,   45.0,   0.12,
0630210005, 050795, -00009,   75.0,   0.20,
0630210004, 050795, -00009,  100.0,   0.21,
0630210003, 050795, -00009,  125.0,   0.13,
0630210002, 050795, -00009,  150.0,   0.05,
0630210001, 050795, -00009,  175.0,   0.01,
0640200523, 073095, 082954,    5.0,   0.05,
0640200522, 073095, 082840,   14.7,   0.05,
0640200520, 073095, 082736,   24.4,   0.05,
0640200519, 073095, 082630,   35.0,   0.05,
0640200518, 073095, 082510,   45.1,   0.05,
0640200517, 073095, 082351,   60.1,   0.08,
0640200516, 073095, 082228,   74.9,   0.10,
0640200515, 073095, 082120,   85.0,   0.11,
0640200514, 073095, 082010,   95.6,   0.11,
0640200513, 073095, 081900,  104.7,   0.11,
0640200512, 073095, 081744,  114.6,   0.15,
0640200511, 073095, 081623,  124.5,   0.17,
0640200510, 073095, 081525,  133.8,   0.26,
0640200509, 073095, 081405,  149.5,   0.10,
